Keyword,Frequency
对比,1.0695164651486149
有空,1.0687180913082661
战技,1.0684918924000297
课号,1.0679766261092896
闭嘴,1.0672670464692078
配色,1.0668638591847668
打码,1.0668452394029972
md,1.066398003514349
扫码,1.0654196424365678
作业,1.0643249828567332
这门,1.0642348095402885
团长,1.064232842582273
摊位,1.0617746405604072
gpt,1.061173984374335
玩家,1.059433634553475
等到,1.058250658129838
尴尬,1.0564104959649978
传送门,1.0558968562378723
周年,1.0539027243237284
一位,1.0535357625407409
日子,1.0506961840539306
城市,1.0502568971914727
一共,1.0501944152324076
原生,1.0468935261603713
别问,1.0446830008432255
地球,1.0431336342630617
司机,1.043057837552721
代理,1.0408600103149925
办公室,1.04038537924
2024,1.0381548040816957
证明,1.037397582101324
补充,1.0366877958406178
下单,1.0359884188948403
安排,1.0357964618076694
女生,1.0354808005116016
纯纯,1.0349053682260008
切换,1.0346387469365705
活跃,1.0335632061014748
sjtu,1.0329141017579935
选项,1.0328206621483769
本人,1.032217427969348
微软,1.0309858704362445
账户,1.0299820571552472
全发,1.0298550462159892
节目,1.0296507863795488
rua,1.0293970321498818
选手,1.0276627998644587
乔布斯,1.0275531524774697
体育,1.0273236088026858
仙人,1.027188180720823
逻辑,1.0265334785518563
下半年,1.0265073372885787
五个,1.0245830439351689
掏出,1.0243725051687191
邮箱,1.0230644256757238
十分钟,1.0227112924924728
解释,1.0207096341265802
公众,1.0206998167232613
网友,1.018908352958146
感情,1.018898333643223
notability,1.0186557096773616
道理,1.0180989308267567
随手,1.0177441000459126
从小,1.0175545786615172
刚好,1.0169265667072183
就行了,1.016926017823085
走路,1.0168130289471153
几下,1.015505242396014
入学,1.014751637100765
鬼畜,1.0147397431222416
关服,1.0143993033159167
影像,1.0143514466127104
搞定,1.014022063249356
尝试,1.0139066958864964
戴上,1.0125210089956993
好友,1.0124965704364592
石头,1.0120243538689098
罗刹,1.0120175111038818
二酱,1.0112660180976243
喜饼,1.0107297608114953
不学,1.0107240795755614
理想,1.010339004729267
nb,1.0092910897000493
性格,1.0074540436320605
两天,1.0069872521262173
亲自,1.0064859885216544
第一位,1.006137337766306
沥青,1.0061075222275666
美元,1.0061007083933398
难用,1.005383590069085
touch,1.0045595537170546
尽头,1.0017303028281068
打赏,1.0002945332841482
就学,1.0
钉子,1.0
散场,1.0
数博加,1.0
功德,1.0
纪念,1.0
斗地主,1.0
一脉相承,1.0
顶顶,1.0
来电,1.0
预言家,1.0
柬埔寨,1.0
salute,1.0
头衔,1.0
坚屏,1.0
琪宝,1.0
香菇,1.0
马卡龙,1.0
现就排,1.0
梅开二度,1.0
玉足,1.0
基岩,1.0
牢萤,1.0
大智居,1.0
水军,1.0
xj,1.0
黄院,1.0
煲汤,1.0
ta50,1.0
烟火,1.0
油管,1.0
游泳,1.0
末日,1.0
万冤身,1.0
回合制,1.0
稻妻,1.0
新年快乐,1.0
门锁,1.0
个交,1.0
算王,1.0
mihoyo,1.0
两分,1.0
无语,1.0
日日,1.0
日落,1.0
muad,1.0
突开,1.0
难不倒,1.0
真快,1.0
numpy,1.0
学长,1.0
祖传秘方,1.0
学生手册,1.0
破防,1.0
喜镜,1.0
嘿得,1.0
睡洞,1.0
睡不晚,1.0
非洲,1.0
服务台,1.0
雷总发力,1.0
错觉,1.0
保送,1.0
______________,1.0
开投,1.0
群友,1.0
捡起来,1.0
裁员,1.0
越口,1.0
这心海,1.0
删帖,1.0
自引,1.0
先梦为,1.0
删号,1.0
老八,1.0
要加,1.0
南方人,1.0
躺平,1.0
扶器,1.0
要来力,1.0
全票,1.0
他成,1.0
度日如年,1.0
荒原,1.0
他会,1.0
贴子,1.0
共处一室,1.0
屯屯鼠,1.0
人才,1.0
原来如此,1.0
别尬,1.0
抛瓦,1.0
艰排,1.0
动了动,1.0
蒸虾,1.0
输麻,1.0
这真查,1.0
这炙阳,1.0
做做,1.0
虽迟,1.0
怀旧,1.0
卡绩,1.0
缺钱,1.0
指物,1.0
试一下,1.0
打个,1.0
我宵宫,1.0
撑死,1.0
挤挤,1.0
做梦,1.0
凑凑,1.0
抢救,1.0
原帖,1.0
交换,1.0
我树,1.0
十八,1.0
脑子,0.9995088347042118
